"","Carrier_Company_Name","Uniquely_Identified_Carrier","Source_Port","Destination_Port","Distance (Nautical_Miles)","Ship_Length (ft)","Ship_Beam (ft)","Ship_Draft (ft)","Storage_Capacity (#Conatiners)","Is_Shared"
"1","CMA CGM","CMA-U123453","Tokyo","Busan","21028.8410535268","1171.21752634412","125.268890796251","44.9255129404276","16478","0"
"2","COSCO","COS-U123453","Shanghai","Rotterdam","18644.4098520745","1145.60530403047","130.91386356844","44.9458011050913","16852","0"
"3","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20071.6630779393","1030.5563375121","129.870226904713","43.4544572682354","14540","0"
"4","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","23234.0527203865","1089.35346776387","140.6408389841","43.4880340487141","16657","0"
"5","CMA CGM","CMA-U123453","Tokyo","Busan","16011.4153101481","1191.28315232694","143.947123608092","44.0462696083008","18883","0"
"6","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","17678.1870034989","1195.38332747179","123.932152353977","42.9658525624525","15913","0"
"7","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18261.4226131327","986.463158261031","133.66304827444","42.8363647408762","14120","0"
"8","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","18234.9841868319","981.626127427444","128.435222634411","46.3194064396885","14599","0"
"9","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","22316.0521768872","1041.98457876337","128.980617897231","44.0828927037762","14811","0"
"10","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","20104.4977228157","1051.96751742624","134.647118130195","42.9602477078706","6761","0"
"11","CMA CGM","CMA-U123453","Tokyo","Busan","22741.66932391","1133.14897596603","126.860367878535","44.3236025924305","15929","0"
"12","Maersk","MAE-U123453","Bremerhaven","Qingdao","21744.7245005518","1143.08214321965","122.083612554049","43.0525806570397","15020","0"
"13","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16348.4867075644","965.453065558104","128.993261135074","45.2898958871475","14101","0"
"14","COSCO","COS-U123453","Shanghai","Rotterdam","22079.5926266257","1139.55849120743","132.64421204421","43.8586346263573","16574","0"
"15","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","19253.6337031145","1010.21835862659","138.280995488653","44.8979633278033","15680","0"
"16","Ocean Network Express (ONE)","OCE-U123453","Heijin Yokohama","Port Klang","20094.2558899149","1071.24341242714","134.611077497633","45.4995964055276","16403","0"
"17","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","15616.611466622","1040.70461074007","132.882523720713","44.9137325621294","15528","0"
"18","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","18138.4306892194","990.631780754775","129.850318163287","44.8136571920557","14411","0"
"19","COSCO","COS-U123453","Shanghai","Rotterdam","19737.6338826399","1032.97665502876","124.544011408054","46.2738400491999","14883","0"
"20","Wan Hai Lines","WAN-U123453","Long Beach","Antwerp","24933.2736236695","1157.57227410795","121.996064714999","43.2609923303132","6788","0"
"21","Korea Marine Transport Corporation","KOR-U123453","Jebel Ali","Saigon","25272.8881625924","1080.61240954441","132.050114234622","45.8609343094442","16360","0"
"22","CMA CGM","CMA-U123453","Tokyo","Busan","22310.3867124952","972.11027487414","137.526559426104","43.7462841797476","14621","0"
"23","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","24208.3055696636","1068.45441004145","127.527222256738","46.1724130408219","15728","0"
"24","Maersk","MAE-U123453","Bremerhaven","Qingdao","19224.1560537089","983.161998939468","137.79958684119","43.1760587892692","14624","0"
"25","CMA CGM","CMA-U123453","Tokyo","Busan","19821.4976678509","1027.26570763858","141.943318001488","42.7937987226689","15600","0"
"26","COSCO","COS-U123453","Shanghai","Rotterdam","23394.9653370772","981.353808393469","126.421588060614","45.2053715757619","14021","0"
"27","Mediterranean Shipping Company","MED-U123453","Ningbo-Zhoushan","Guangzhou","24958.8574634772","1178.17297049449","129.794675878187","42.6286266246525","16297","0"
"28","COSCO","COS-U123453","Shanghai","Rotterdam","17846.3188787084","1198.18504452123","124.472781836152","44.7652740985846","16691","0"
"29","Pacific International Lines","PAC-U123453","Hong Kong","Los Angeles","24156.7658150196","980.060196095146","125.543570186414","45.236941772016","13915","0"
"30","COSCO","COS-U123453","Shanghai","Rotterdam","19228.0652036984","1123.65064272773","134.391617069075","42.3609634962388","7108","0"
"31","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","21362.892808551","1042.76162654278","122.648785025918","45.2702667261821","14474","0"
"32","Evergreen Marine Corporation","EVE-U123453","Shenzhen","Dalian","16105.8869788796","1070.23824810982","136.689164193149","42.9900855680732","15723","0"
"33","Hapag-Lloyd","HAP-U123453","Hamburg","Tianjin","17017.2601330094","1161.01835643407","137.361250840609","43.542134927763","17360","0"
