Id,Membership Type,Age,Weight,Height,Gender,Life_Style,BMI,Weight Class,Calories
1,Monthly,50,44.27410010122355,1.7468515788791934,Male,Active,14.509008299911722,Underweight,14.509008299911722
2,Monthly,39,67.06416568743755,1.703408770114246,Female,Low Active,23.112811017664335,Normal,23.112811017664335
3,Monthly,43,27.340908380053257,2.0188060506424788,Male,Sedentary,6.708474049916938,Underweight,6.708474049916938
4,Monthly,29,68.62531173597147,2.0713968572230677,Male,Low Active,15.994022561384924,Underweight,15.994022561384924
5,Annually,22,76.8531981036055,1.325519083054826,Male,Low Active,43.74112770692629,Obesity,43.74112770692629
6,Annually,27,53.938046684971525,1.5761720964744932,Female,Active,21.71140583183343,Normal,21.71140583183343
7,Annually,44,31.302815196456134,2.04902787119462,Male,Sedentary,42.746301,Obesity,42.746301
8,Annually,10,88.5469796665298,1.6733582976922687,Female,Low Active,31.622475795786276,Obesity,31.622475795786276
9,Annually,12,67.21692276878457,2.00648414577173,Male,Low Active,62.022243,Obesity,62.022243
10,Monthly,57,72.87381315985209,1.6679676252417635,Male,Active,26.193664530829434,OverWeight,26.193664530829434
11,Monthly,46,92.93530297079978,1.8420093411915721,Female,Active,27.39031725264355,OverWeight,27.39031725264355
12,Monthly,25,67.6936804628408,1.7861607859799329,Female,Active,41.311205,Obesity,41.311205
13,Monthly,39,75.5967430693969,1.774768367296141,Male,Active,24.00046888271753,Normal,24.00046888271753
14,Annually,40,68.2759055032949,1.853979822804411,Male,Active,19.86357717163058,Normal,19.86357717163058
15,Annually,48,69.64832320328082,1.580838356794146,Female,Active,27.86992085107901,OverWeight,27.86992085107901
16,Annually,17,76.19596049934177,1.7206187609691892,Male,Low Active,25.73727956824733,OverWeight,25.73727956824733
17,Monthly,11,30.759651216506413,1.3483881000330042,Female,Active,16.918099878217227,Underweight,16.918099878217227
18,Annually,15,64.31312586294443,1.446545869079786,Male,Active,30.73514027902283,Obesity,30.73514027902283
19,Annually,20,13.157995376483843,1.4544415916696933,Male,Active,6.220097021552035,Underweight,6.220097021552035
20,Annually,19,25.969953179559955,1.819792749283475,Female,Low Active,42.419083,Obesity,42.419083
21,Annually,32,91.30218681649998,1.8448144370323045,Male,Sedentary,67.796203,Obesity,64.39158
22,Annually,41,43.531611133688095,1.474730260025874,Male,Active,20.016104407057107,Normal,20.016104407057107
23,Monthly,19,78.22972671083411,1.40449486657906,Female,Active,39.65806321328843,Obesity,39.65806321328843
24,Monthly,41,57.41579617561557,1.9682390111001808,Male,Low Active,14.820939029758032,Underweight,57.770497
25,Annually,27,77.82858400558182,1.9715765432593864,Male,Sedentary,20.02220225223788,Normal,58.15138
26,Monthly,55,79.78662976558351,1.5427971327957826,Female,Sedentary,33.520653317555585,Obesity,33.520653317555585
27,Monthly,42,70.65035699325388,1.606274242983295,Female,Low Active,27.38261812765627,OverWeight,27.38261812765627
28,Annually,50,51.295149268289585,1.7644301998114644,Male,Low Active,16.47658992332043,Underweight,16.47658992332043
29,Annually,53,44.627402331546904,1.7982642239269693,Male,Active,63.968245,Obesity,63.968245
30,Annually,18,60.57598280194979,1.9111615793276764,Male,Sedentary,16.584625031896046,Underweight,16.584625031896046
31,Monthly,54,18.669593807287846,1.7884453260797635,Male,Low Active,5.836917206071333,Underweight,5.836917206071333
32,Monthly,50,61.03874079538577,2.024762179910605,Male,Active,57.603212,Obesity,57.603212
33,Monthly,43,53.24091932954028,1.8448692850467356,Male,Low Active,15.64279468550953,Underweight,15.64279468550953
34,Annually,42,28.759449239196687,1.4429729573453636,Female,Low Active,13.812242055069218,Underweight,13.812242055069218
