,Area_name,Area(Sq.Mt.),Soil,Distance_from_city,Budget,Passenger_traffic,Revenue,Time_to_build
0,"716 Williams Union Suite 475
Lake Sarah, ME 54312",30892,Sand,95.1795227,40159600,120096870,1241530852,16.96
1,"4546 Leslie Grove
New Jeremyport, TX 61092",30724,Silt,91.17494107,39941200,122285165,1149662778,16.87
2,"73450 Smith Islands
Lake Sheila, PA 94190",30740,Clay,18.8790909,39962000,117764915,1147666171,16.88
3,"4373 Harper Square Suite 785
Lake Margaretmouth, RI 01360",31028,Clay,91.45346203,40336400,104900899,1156393663,17.03
4,"9606 Williamson Prairie
East Cherylborough, IL 97871",30900,Loam,24.42555824,40170000,83114264,1109996276,16.96
5,"851 Gonzalez Courts
New Jose, OR 07594",30573,Loam,11.56428946,39744900,124442822,1197981996,16.78
6,"5327 Carlson Center
Griffinland, ID 61244",30803,Sand,49.52505003,40043900,154753877,946234164.8,16.91
7,"28161 Kaitlyn Crossroad Suite 142
Melaniefurt, IN 73849",30482,Silt,45.81553742,39626600,153419500,1694676859,16.73
8,"85634 Gomez Road
New Brianport, AK 29154",31043,Loam,71.94039729,40355900,106393585,1372666777,17.04
9,"01923 Richard Pass
Byrdborough, IL 96221",30822,Clay,48.8826807,40068600,133581354,1633498874,16.92
10,"786 Butler Way Suite 945
Jonathanhaven, NJ 51763",30908,Loam,43.26112728,40180400,116968569,1139643351,16.97
11,"0388 Price Plaza Suite 599
Davisstad, CA 26803",30744,Silt,50.54607416,39967200,75781553,1663834055,16.88
12,"4630 Cisneros Vista
South Parkerberg, WA 33601",30429,Sand,27.3439727,39557700,99355293,1331704446,16.71
13,"314 Sarah Village Apt. 317
North Mistychester, RI 78356",30879,Silt,89.33396709,40142700,127290006,870367728.6,16.95
14,"547 Howard Wells
North Paul, IA 08649",30728,Sand,68.83663136,39946400,116904232,1041093503,16.87
15,"6617 Adams Flats
Amytown, MN 17241",31312,Silt,46.21687398,40705600,75264556,903672768.4,17.19
16,"6239 Gibson Lights Suite 659
South Sueshire, AZ 48582",30862,Silt,56.67637141,40120600,99619980,1409927980,16.94
17,"519 Jackson Fall Apt. 204
East Dylanfurt, RI 35134",30854,Silt,32.55695912,40110200,116821820,1600864759,16.94
