,Area(Sq.Mt.),Soil_type,Distance_from_city,Budget,Passenger_traffic
0,44793.07,Loam,73.08,58230984.74,105214479
1,5416.4,Sand,19.93,7041323.122,97429049
2,37117.79,Sand,73.55,48253125.5,97259845
3,59321.98,Silt,49.72,77118574.81,97999463
4,3068.75,Loam,80.55,3989377.063,94067481
5,28484.66,Clay,20.82,37030057.59,101523898
6,2574.62,Silt,81.6,3347005.831,80189336
7,57981.46,Silt,35.02,75375892.69,143616683
8,8875.9,Silt,5.49,11538669.69,116327693
9,55452.26,Silt,26.8,72087943.03,138432108
10,46437.03,Sand,49.2,60368135.88,96579945
11,9488.59,Silt,99.93,12335161.28,141002886
12,56906.17,Clay,63.65,73978017.77,112856309
13,34208.97,Loam,6.05,44471663.53,73759977
14,53355.7,Clay,40.47,69362411.53,88228263
15,8564.75,Loam,27.08,11134178,76582438
16,54160.87,Silt,84.95,70409136.26,119485422
17,8200.01,Loam,96.12,10660012.82,135666505
18,39651.38,Loam,27.96,51546792.69,119651736
19,26104.45,Clay,31.32,33935785.15,149871730
20,56470.86,Clay,13.1,73412118.07,135387467
21,24215.86,Clay,11.88,31480620.66,73711146
22,56968.5,Sand,37.94,74059045.56,150307986
23,46091.19,Loam,57.64,59918547.96,91546531
24,33001.37,Clay,85.9,42901781.41,74320571
25,29667,Loam,34.72,38567100.53,134978073
26,35791.34,Clay,74.65,46528739.26,154818759
27,44966.28,Sand,53.8,58456167.08,104954047
28,46959.65,Loam,69.2,61047540.69,103682576
29,57216.66,Sand,10.51,74381652.13,132871867
30,36085.85,Clay,48.39,46911600,116599689
31,47520.84,Loam,19.22,61777089.37,97937015
32,25653.77,Clay,29.43,33349905.9,76267764
33,45973.4,Sand,78.26,59765419.84,137810047
34,15477.21,Loam,30.28,20120375.11,109370421
35,40094.83,Loam,71.52,52123277.36,131324258
36,19925.84,Clay,88.85,25903595.95,107280558
37,2324.11,Sand,81.46,3021337.97,87483174
38,19930.3,Clay,89.16,25909395.83,108131718
39,10167.79,Silt,21.54,13218125.53,112937918
40,22135.47,Silt,43.53,28776105.99,104275396
41,27150.38,Loam,77.95,35295494.66,109861618
42,23430.81,Silt,20.04,30460047.95,140292633
43,37986.21,Loam,71.76,49382067.98,84639609
44,25733.81,Sand,40.27,33453951.08,140915096
45,18646.56,Clay,96.48,24240531.73,79210727
46,23903.23,Loam,73.6,31074193.41,128654475
